sta_id,sta_time,sta_ph_v,sta_ph_l,sta_do_v,sta_do_l,sta_an_v,sta_an_l,sta_toc_v,sta_toc_l,sta_pp_v,sta_pp_l
73,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
80,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
5,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
152,2015-01-01 00:00:00,8,Ⅰ,6,Ⅱ,4,Ⅲ,5,-,0,Ⅰ
154,2015-01-01 00:00:00,7,Ⅰ,13,Ⅰ,2,Ⅱ,2,-,0,Ⅱ
155,2015-01-01 00:00:00,8,Ⅰ,4,Ⅳ,7,Ⅳ,14,-,0,Ⅲ
156,2015-01-01 00:00:00,7,Ⅰ,6,Ⅱ,4,Ⅲ,8,-,0,Ⅲ
65,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
76,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
64,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,0,-,0,Ⅰ
149,2015-01-01 00:00:00,7,Ⅰ,12,Ⅰ,3,Ⅱ,3,-,0,Ⅲ
157,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,2,Ⅱ,3,-,0,Ⅰ
72,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,2,-,0,Ⅰ
78,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,3,Ⅱ,4,-,0,Ⅱ
147,2015-01-01 00:00:00,8,Ⅰ,13,Ⅰ,2,Ⅱ,3,-,0,Ⅱ
57,2015-01-01 00:00:00,7,Ⅰ,7,Ⅰ,5,Ⅲ,22,-,1,Ⅳ
186,2015-01-01 00:00:00,7,Ⅰ,7,Ⅱ,1,Ⅰ,9999,-,-1,-
158,2015-01-01 00:00:00,8,Ⅰ,13,Ⅰ,1,Ⅰ,0,-,0,Ⅰ
77,2015-01-01 00:00:00,7,Ⅰ,12,Ⅰ,4,Ⅲ,9999,-,0,Ⅰ
185,2015-01-01 00:00:00,7,Ⅰ,6,Ⅱ,10,Ⅴ,9999,-,-1,-
184,2015-01-01 00:00:00,7,Ⅰ,16,Ⅰ,0,Ⅰ,9999,-,0,Ⅱ
81,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
75,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
8,2015-01-01 00:00:00,7,Ⅰ,12,Ⅰ,5,Ⅲ,9999,-,0,Ⅱ
216,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,0,Ⅰ,1,-,0,Ⅰ
137,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
103,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,-1,-,9999,-,0,Ⅱ
97,2015-01-01 00:00:00,7,Ⅰ,6,Ⅱ,6,Ⅳ,5,-,0,Ⅲ
32,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,5,Ⅲ,9999,-,0,Ⅲ
173,2015-01-01 00:00:00,8,Ⅰ,12,Ⅰ,5,Ⅲ,9999,-,1,Ⅳ
121,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅲ
118,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
107,2015-01-01 00:00:00,7,Ⅰ,11,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
85,2015-01-01 00:00:00,8,Ⅰ,12,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
83,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅲ
214,2015-01-01 00:00:00,7,Ⅰ,6,Ⅱ,0,Ⅰ,0,-,-1,-
197,2015-01-01 00:00:00,8,Ⅰ,8,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
193,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅲ
177,2015-01-01 00:00:00,8,Ⅰ,6,Ⅱ,2,Ⅱ,9999,-,0,Ⅰ
175,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,-1,-,9999,-,0,Ⅲ
164,2015-01-01 00:00:00,8,Ⅰ,12,Ⅰ,4,Ⅲ,7,-,0,Ⅱ
146,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,3,-,0,Ⅱ
213,2015-01-01 00:00:00,7,Ⅰ,5,Ⅲ,6,Ⅳ,7,-,0,Ⅱ
212,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,12,Ⅴ,12,-,0,Ⅱ
211,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,1,-,-1,-
210,2015-01-01 00:00:00,8,Ⅰ,8,Ⅰ,8,Ⅳ,14,-,0,Ⅲ
209,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,15,劣Ⅴ,13,-,0,Ⅱ
207,2015-01-01 00:00:00,7,Ⅰ,3,Ⅳ,5,Ⅲ,-1,-,0,Ⅱ
206,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,0,-,0,Ⅰ
202,2015-01-01 00:00:00,7,Ⅰ,7,Ⅰ,-1,-,9999,-,0,Ⅱ
201,2015-01-01 00:00:00,7,Ⅰ,1,劣Ⅴ,13,Ⅴ,9999,-,17,劣Ⅴ
199,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
198,2015-01-01 00:00:00,8,Ⅰ,3,Ⅳ,-1,-,9999,-,0,Ⅲ
196,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,8,Ⅳ,9999,-,0,Ⅱ
195,2015-01-01 00:00:00,7,Ⅰ,7,Ⅱ,3,Ⅱ,9999,-,1,Ⅴ
194,2015-01-01 00:00:00,7,Ⅰ,6,Ⅱ,2,Ⅱ,9999,-,0,Ⅱ
192,2015-01-01 00:00:00,-1,-,7,Ⅰ,3,Ⅱ,9999,-,0,Ⅰ
191,2015-01-01 00:00:00,6,Ⅰ,6,Ⅱ,3,Ⅱ,9999,-,0,Ⅰ
190,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
183,2015-01-01 00:00:00,6,Ⅰ,9,Ⅰ,3,Ⅱ,9999,-,0,Ⅰ
182,2015-01-01 00:00:00,7,Ⅰ,4,Ⅳ,3,Ⅱ,9999,-,0,Ⅱ
167,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
181,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,5,劣Ⅴ
180,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
176,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,-1,-
168,2015-01-01 00:00:00,7,Ⅰ,13,Ⅰ,4,Ⅲ,9999,-,0,Ⅰ
219,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,3,Ⅱ,6,-,0,Ⅰ
179,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,3,Ⅱ,9999,-,2,劣Ⅴ
178,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅲ
116,2015-01-01 00:00:00,7,Ⅰ,13,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
113,2015-01-01 00:00:00,8,Ⅰ,8,Ⅰ,0,Ⅰ,9999,-,0,Ⅱ
131,2015-01-01 00:00:00,7,Ⅰ,11,Ⅰ,0,Ⅰ,9999,-,0,Ⅱ
126,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
123,2015-01-01 00:00:00,6,Ⅰ,7,Ⅰ,2,Ⅱ,2,-,0,Ⅱ
122,2015-01-01 00:00:00,8,Ⅰ,12,Ⅰ,5,Ⅲ,5,-,0,Ⅲ
112,2015-01-01 00:00:00,8,Ⅰ,11,Ⅰ,3,Ⅱ,9999,-,0,Ⅱ
111,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,10,Ⅴ,9999,-,1,Ⅳ
109,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,3,Ⅱ,9999,-,0,Ⅱ
106,2015-01-01 00:00:00,8,Ⅰ,13,Ⅰ,5,Ⅲ,9999,-,0,Ⅲ
105,2015-01-01 00:00:00,7,Ⅰ,13,Ⅰ,5,Ⅲ,9999,-,0,Ⅱ
143,2015-01-01 00:00:00,7,Ⅰ,5,Ⅲ,5,Ⅲ,9999,-,0,Ⅲ
141,2015-01-01 00:00:00,6,Ⅰ,3,Ⅳ,6,Ⅳ,9999,-,1,Ⅴ
136,2015-01-01 00:00:00,6,Ⅰ,3,Ⅳ,-1,-,9999,-,-1,-
135,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,1,Ⅰ,1,-,0,Ⅱ
134,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,5,Ⅲ,9999,-,0,Ⅱ
129,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,1,Ⅳ
114,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,4,Ⅲ,9999,-,0,Ⅲ
127,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
125,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
124,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,7,Ⅳ,9999,-,0,Ⅲ
119,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
117,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
115,2015-01-01 00:00:00,8,Ⅰ,12,Ⅰ,7,Ⅳ,9999,-,0,Ⅱ
68,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,5,Ⅲ,9999,-,0,Ⅱ
67,2015-01-01 00:00:00,6,Ⅰ,8,Ⅰ,3,Ⅱ,9999,-,0,Ⅲ
66,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅲ
104,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
142,2015-01-01 00:00:00,7,Ⅰ,6,Ⅱ,2,Ⅱ,9999,-,0,Ⅱ
159,2015-01-01 00:00:00,8,Ⅰ,14,Ⅰ,14,Ⅴ,14,-,1,Ⅳ
20,2015-01-01 00:00:00,8,Ⅰ,11,Ⅰ,4,Ⅲ,4,-,0,Ⅰ
16,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
12,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
84,2015-01-01 00:00:00,7,Ⅰ,11,Ⅰ,26,劣Ⅴ,33,-,9,劣Ⅴ
62,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,7,Ⅳ,9999,-,0,Ⅱ
161,2015-01-01 00:00:00,7,Ⅰ,5,Ⅲ,7,Ⅳ,8,-,7,劣Ⅴ
140,2015-01-01 00:00:00,7,Ⅰ,6,Ⅱ,1,Ⅰ,2,-,0,Ⅰ
59,2015-01-01 00:00:00,7,Ⅰ,12,Ⅰ,5,Ⅲ,6,-,1,Ⅳ
56,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
110,2015-01-01 00:00:00,6,Ⅰ,6,Ⅱ,3,Ⅱ,9999,-,0,Ⅱ
63,2015-01-01 00:00:00,6,Ⅰ,2,Ⅴ,7,Ⅳ,9999,-,2,劣Ⅴ
61,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,7,-,0,Ⅲ
60,2015-01-01 00:00:00,7,Ⅰ,10,Ⅰ,4,Ⅲ,9999,-,1,Ⅳ
166,2015-01-01 00:00:00,8,Ⅰ,9,Ⅰ,5,Ⅲ,6,-,0,Ⅱ
55,2015-01-01 00:00:00,7,Ⅰ,8,Ⅰ,5,Ⅲ,9999,-,2,劣Ⅴ
54,2015-01-01 00:00:00,8,Ⅰ,11,Ⅰ,3,Ⅱ,4,-,0,Ⅲ
53,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
162,2015-01-01 00:00:00,7,Ⅰ,9,Ⅰ,0,Ⅰ,4,-,0,Ⅱ
18,2015-01-01 00:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
74,2015-01-01 00:00:00,8,Ⅰ,7,Ⅱ,1,Ⅰ,9999,-,0,Ⅰ
70,2015-01-01 00:00:00,7,Ⅰ,7,Ⅱ,5,Ⅲ,33,-,1,Ⅳ
58,2015-01-01 01:00:00,7,Ⅰ,12,Ⅰ,2,Ⅱ,9999,-,-1,-
159,2015-01-01 02:00:00,8,Ⅰ,13,Ⅰ,15,劣Ⅴ,14,-,1,Ⅴ
156,2015-01-01 02:00:00,7,Ⅰ,7,Ⅱ,4,Ⅲ,7,-,1,Ⅴ
77,2015-01-01 02:00:00,7,Ⅰ,12,Ⅰ,4,Ⅲ,9999,-,0,Ⅰ
58,2015-01-01 02:00:00,7,Ⅰ,12,Ⅰ,2,Ⅱ,9999,-,-1,-
58,2015-01-01 03:00:00,7,Ⅰ,12,Ⅰ,2,Ⅱ,9999,-,-1,-
135,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,1,Ⅰ,1,-,0,Ⅱ
61,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,1,Ⅰ,7,-,0,Ⅲ
154,2015-01-01 04:00:00,7,Ⅰ,13,Ⅰ,3,Ⅱ,3,-,0,Ⅱ
121,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
162,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,0,Ⅰ,4,-,0,Ⅱ
57,2015-01-01 04:00:00,7,Ⅰ,7,Ⅰ,4,Ⅲ,22,-,1,Ⅳ
55,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,4,Ⅲ,9999,-,2,劣Ⅴ
152,2015-01-01 04:00:00,8,Ⅰ,5,Ⅲ,4,Ⅲ,5,-,0,Ⅰ
73,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
111,2015-01-01 04:00:00,7,Ⅰ,11,Ⅰ,9,Ⅳ,9999,-,0,Ⅲ
5,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
72,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,2,-,0,Ⅰ
137,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
155,2015-01-01 04:00:00,8,Ⅰ,5,Ⅲ,5,Ⅲ,9,-,0,Ⅲ
65,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
62,2015-01-01 04:00:00,7,Ⅰ,11,Ⅰ,8,Ⅳ,9999,-,0,Ⅱ
124,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,7,Ⅳ,9999,-,0,Ⅲ
156,2015-01-01 04:00:00,7,Ⅰ,7,Ⅱ,4,Ⅲ,7,-,0,Ⅲ
60,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,4,Ⅲ,9999,-,1,Ⅳ
70,2015-01-01 04:00:00,7,Ⅰ,7,Ⅰ,5,Ⅲ,33,-,1,Ⅳ
59,2015-01-01 04:00:00,7,Ⅰ,12,Ⅰ,4,Ⅲ,6,-,1,Ⅳ
32,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,5,Ⅲ,9999,-,0,Ⅲ
63,2015-01-01 04:00:00,7,Ⅰ,1,劣Ⅴ,5,Ⅲ,9999,-,3,劣Ⅴ
149,2015-01-01 04:00:00,7,Ⅰ,12,Ⅰ,3,Ⅱ,3,-,0,Ⅲ
84,2015-01-01 04:00:00,7,Ⅰ,12,Ⅰ,24,劣Ⅴ,31,-,9,劣Ⅴ
83,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
78,2015-01-01 04:00:00,7,Ⅰ,7,Ⅱ,5,Ⅲ,6,-,0,Ⅰ
173,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,5,Ⅲ,9999,-,1,Ⅳ
56,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
18,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
67,2015-01-01 04:00:00,6,Ⅰ,8,Ⅰ,3,Ⅱ,9999,-,0,Ⅱ
16,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
80,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
54,2015-01-01 04:00:00,8,Ⅰ,11,Ⅰ,3,Ⅱ,4,-,0,Ⅱ
147,2015-01-01 04:00:00,8,Ⅰ,12,Ⅰ,2,Ⅱ,3,-,0,Ⅱ
119,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
97,2015-01-01 04:00:00,7,Ⅰ,6,Ⅱ,6,Ⅳ,6,-,0,Ⅲ
58,2015-01-01 04:00:00,7,Ⅰ,12,Ⅰ,2,Ⅱ,9999,-,-1,-
140,2015-01-01 04:00:00,7,Ⅰ,6,Ⅱ,1,Ⅰ,2,-,0,Ⅰ
74,2015-01-01 04:00:00,8,Ⅰ,7,Ⅱ,1,Ⅰ,9999,-,0,Ⅰ
68,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,5,Ⅲ,9999,-,0,Ⅱ
129,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,1,Ⅳ
127,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,0,Ⅰ,9999,-,0,Ⅰ
126,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
125,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
122,2015-01-01 04:00:00,8,Ⅰ,12,Ⅰ,5,Ⅲ,5,-,0,Ⅲ
118,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
146,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,2,-,0,Ⅱ
12,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
158,2015-01-01 04:00:00,8,Ⅰ,13,Ⅰ,1,Ⅰ,1,-,0,Ⅰ
66,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
143,2015-01-01 04:00:00,7,Ⅰ,5,Ⅲ,6,Ⅳ,9999,-,0,Ⅲ
142,2015-01-01 04:00:00,7,Ⅰ,6,Ⅱ,2,Ⅱ,9999,-,0,Ⅱ
8,2015-01-01 04:00:00,7,Ⅰ,12,Ⅰ,4,Ⅲ,9999,-,0,Ⅱ
136,2015-01-01 04:00:00,6,Ⅰ,2,Ⅴ,-1,-,9999,-,-1,-
116,2015-01-01 04:00:00,7,Ⅰ,13,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
53,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,2,Ⅰ,9999,-,0,Ⅱ
134,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,5,Ⅲ,9999,-,0,Ⅱ
77,2015-01-01 04:00:00,7,Ⅰ,12,Ⅰ,4,Ⅲ,9999,-,0,Ⅰ
64,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,0,-,0,Ⅰ
76,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅰ
107,2015-01-01 04:00:00,7,Ⅰ,11,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
103,2015-01-01 04:00:00,7,Ⅰ,11,Ⅰ,-1,-,9999,-,-1,-
85,2015-01-01 04:00:00,8,Ⅰ,12,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
193,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅲ
185,2015-01-01 04:00:00,7,Ⅰ,6,Ⅱ,10,Ⅴ,9999,-,-1,-
212,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,11,Ⅴ,12,-,0,Ⅱ
211,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,1,-,-1,-
216,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,0,Ⅰ,1,-,0,Ⅰ
214,2015-01-01 04:00:00,7,Ⅰ,6,Ⅱ,0,Ⅰ,0,-,-1,-
213,2015-01-01 04:00:00,7,Ⅰ,6,Ⅱ,7,Ⅳ,7,-,0,Ⅱ
219,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,3,Ⅱ,6,-,0,Ⅰ
177,2015-01-01 04:00:00,8,Ⅰ,6,Ⅱ,1,Ⅰ,9999,-,0,Ⅰ
166,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,5,Ⅲ,6,-,0,Ⅱ
157,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,2,Ⅱ,3,-,0,Ⅰ
141,2015-01-01 04:00:00,6,Ⅰ,3,Ⅳ,3,Ⅱ,9999,-,1,Ⅴ
138,2015-01-01 04:00:00,8,Ⅰ,3,Ⅳ,9999,-,12,-,4,劣Ⅴ
210,2015-01-01 04:00:00,8,Ⅰ,8,Ⅰ,8,Ⅳ,13,-,0,Ⅲ
209,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,14,Ⅴ,14,-,0,Ⅱ
207,2015-01-01 04:00:00,7,Ⅰ,3,Ⅳ,5,Ⅲ,-1,-,0,Ⅱ
206,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,0,-,0,Ⅱ
202,2015-01-01 04:00:00,6,Ⅰ,7,Ⅰ,-1,-,9999,-,0,Ⅱ
201,2015-01-01 04:00:00,7,Ⅰ,1,劣Ⅴ,12,Ⅴ,9999,-,18,劣Ⅴ
199,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
198,2015-01-01 04:00:00,8,Ⅰ,3,Ⅳ,-1,-,9999,-,0,Ⅲ
197,2015-01-01 04:00:00,8,Ⅰ,8,Ⅰ,3,Ⅱ,9999,-,0,Ⅰ
196,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,8,Ⅳ,9999,-,0,Ⅱ
195,2015-01-01 04:00:00,7,Ⅰ,7,Ⅱ,3,Ⅱ,9999,-,1,Ⅴ
194,2015-01-01 04:00:00,7,Ⅰ,6,Ⅱ,1,Ⅰ,9999,-,0,Ⅱ
192,2015-01-01 04:00:00,-1,-,8,Ⅰ,3,Ⅱ,9999,-,0,Ⅰ
191,2015-01-01 04:00:00,6,Ⅰ,6,Ⅱ,2,Ⅱ,9999,-,0,Ⅱ
190,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
186,2015-01-01 04:00:00,7,Ⅰ,7,Ⅱ,1,Ⅰ,9999,-,-1,-
167,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
184,2015-01-01 04:00:00,7,Ⅰ,13,Ⅰ,0,Ⅰ,9999,-,0,Ⅱ
176,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,1,Ⅰ,9999,-,-1,-
168,2015-01-01 04:00:00,7,Ⅰ,13,Ⅰ,3,Ⅱ,9999,-,0,Ⅰ
183,2015-01-01 04:00:00,6,Ⅰ,9,Ⅰ,3,Ⅱ,9999,-,0,Ⅰ
75,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
182,2015-01-01 04:00:00,7,Ⅰ,4,Ⅳ,3,Ⅱ,9999,-,0,Ⅱ
164,2015-01-01 04:00:00,8,Ⅰ,12,Ⅰ,4,Ⅲ,7,-,0,Ⅱ
181,2015-01-01 04:00:00,8,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,5,劣Ⅴ
175,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,-1,-,9999,-,0,Ⅲ
180,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
179,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,3,Ⅱ,9999,-,2,劣Ⅴ
178,2015-01-01 04:00:00,8,Ⅰ,9,Ⅰ,2,Ⅱ,9999,-,0,Ⅲ
123,2015-01-01 04:00:00,6,Ⅰ,7,Ⅰ,2,Ⅱ,2,-,0,Ⅱ
159,2015-01-01 04:00:00,8,Ⅰ,13,Ⅰ,15,劣Ⅴ,15,-,1,Ⅴ
81,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
117,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
161,2015-01-01 04:00:00,7,Ⅰ,5,Ⅲ,7,Ⅳ,8,-,7,劣Ⅴ
115,2015-01-01 04:00:00,8,Ⅰ,12,Ⅰ,7,Ⅳ,9999,-,0,Ⅱ
114,2015-01-01 04:00:00,7,Ⅰ,9,Ⅰ,3,Ⅱ,9999,-,0,Ⅱ
113,2015-01-01 04:00:00,8,Ⅰ,8,Ⅰ,1,Ⅰ,9999,-,0,Ⅱ
112,2015-01-01 04:00:00,8,Ⅰ,11,Ⅰ,3,Ⅱ,9999,-,0,Ⅱ
110,2015-01-01 04:00:00,6,Ⅰ,6,Ⅱ,3,Ⅱ,9999,-,0,Ⅱ
109,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,3,Ⅱ,9999,-,0,Ⅱ
108,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,2,Ⅱ,9999,-,0,Ⅱ
106,2015-01-01 04:00:00,8,Ⅰ,12,Ⅰ,5,Ⅲ,9999,-,0,Ⅲ
105,2015-01-01 04:00:00,7,Ⅰ,12,Ⅰ,5,Ⅲ,9999,-,0,Ⅱ
104,2015-01-01 04:00:00,7,Ⅰ,8,Ⅰ,1,Ⅰ,9999,-,0,Ⅰ
131,2015-01-01 04:00:00,7,Ⅰ,10,Ⅰ,0,Ⅰ,9999,-,0,Ⅱ
58,2015-01-01 05:00:00,7,Ⅰ,12,Ⅰ,2,Ⅱ,9999,-,-1,-
77,2015-01-01 06:00:00,7,Ⅰ,12,Ⅰ,4,Ⅲ,9999,-,0,Ⅰ
159,2015-01-01 06:00:00,8,Ⅰ,13,Ⅰ,14,Ⅴ,14,-,1,Ⅴ
